geo_fips,statefips,countyfips,tractfips,blockgroupfips,totalpopest2015_19acs,yearofstartdate,underage1popest2015_19acs,age0to17popest2015_19acs,unique0to17withed_visit,unique0to17withed_visitper100,numbered_visitsage0to17,ed_visitsper100age0to17,numberlowacuityed_visitsage0to17,lowacuityed_visitsper100age0to17,numberasthmarelateded_visits,asthmarelateded_visitsper100age0to17,numbered_visitsbychildrenunder1yearold,numberofinjuryrelatedvisits,injuryrelatededvisitsper100age0to17,numberacuterespiratorytractinfectionrelateded_visitsage0to17,acuterespiratorytractinfectionrelateded_visitsper100age0to17
42003902001,42,3,90200,1,927,2018.0,12.0,108,18.0,16.7,22.0,20.4,9.0,8.3,3.0,2.8,7.0,1.0,0.9,1.0,0.9
42003903001,42,3,90300,1,1094,2016.0,7.8,58,33.0,56.9,69.0,119.0,36.0,62.1,23.0,39.7,6.0,1.0,1.7,8.0,13.8
42003903001,42,3,90300,1,1094,2018.0,7.8,58,32.0,55.2,69.0,119.0,46.0,79.3,20.0,34.5,4.0,1.0,1.7,6.0,10.3
420031005001,42,3,100500,1,693,2017.0,3.0,49,43.0,87.8,95.0,193.9,52.0,106.1,36.0,73.5,9.0,1.0,2.0,27.0,55.1
420031005001,42,3,100500,1,693,2018.0,3.0,49,40.0,81.6,88.0,179.6,58.0,118.4,38.0,77.6,5.0,2.0,4.1,15.0,30.6
420031005002,42,3,100500,2,1152,2018.0,15.6,226,75.0,33.2,128.0,56.6,74.0,32.7,22.0,9.7,8.0,2.0,0.9,18.0,8.0
420031005002,42,3,100500,2,1152,2019.0,15.6,226,81.0,35.8,140.0,61.9,92.0,40.7,21.0,9.3,7.0,1.0,0.4,12.0,5.3
420031011001,42,3,101100,1,1504,2017.0,8.0,189,42.0,22.2,95.0,50.3,45.0,23.8,20.0,10.6,17.0,2.0,1.1,15.0,7.9
420031011001,42,3,101100,1,1504,2018.0,8.0,189,55.0,29.1,99.0,52.4,68.0,36.0,22.0,11.6,12.0,2.0,1.1,19.0,10.1
420031011001,42,3,101100,1,1504,2019.0,8.0,189,58.0,30.7,113.0,59.8,75.0,39.7,16.0,8.5,15.0,1.0,0.5,20.0,10.6
420031011003,42,3,101100,3,658,2016.0,8.6,191,27.0,14.1,40.0,20.9,19.0,9.9,12.0,6.3,5.0,2.0,1.0,4.0,2.1
420031011003,42,3,101100,3,658,2019.0,8.6,191,27.0,14.1,40.0,20.9,23.0,12.0,7.0,3.7,4.0,1.0,0.5,7.0,3.7
420031014001,42,3,101400,1,1043,2016.0,7.4,233,30.0,12.9,48.0,20.6,22.0,9.4,9.0,3.9,4.0,1.0,0.4,10.0,4.3
